id,slug,name,description
545,replacement-therapy,Replacement Therapy,"🔄 Question your beliefs… Question your beliefs and try to come up with the opposite. This will help you see things from a different perspective. For instance, if you believe your friend is selfish, try to recall an instance where they acted selflessly."
546,winner-loser-game,Winner / Loser Game,"🎾 Which game are you playing? Amateur tennis is a Loser’s Game. Most points are lost due to unforced errors. You win by avoiding mistakes and waiting for your opponent to make mistakes. Professional tennis is a Winner’s Game. Most points are won through making great shots. In any situation, ask yourself: are you better off avoiding mistakes, or is it crucial to bring your A-game?"
547,dont-add-subtract,"Dont Add, Subtract","➖ When something isn’t working, try subtracting instead of adding. Usually, the solution is found by removing something that is holding us back, not by adding something new."
548,one-minute-focus,One Minute Focus,"⏱️ Staring at something for a short time can improve mental focus. The next time you need to refocus, take a minute and concentrate on one spot. Or just close your eyes. www.oneminutefocus.com"
549,better-breaks,Better Breaks,"⏸️ Three ways to have better breaks: (1) Moving beats stationary (2) Outside beats inside (3) Social beats solo. So, move your body, get some fresh air and interact with others!"
550,dry-ships,Dry Ships,🛳️ Ships don't sink because of the water around them. Ships sink because of the water that gets in them. Don't let what's happening around you get inside you and weigh you down. Keep your ship dry!
551,problem-or-fact,Problem or Fact,🤷
552,30-for-30,30-for-30,"🗓️ If you want to make progress, do something for 30 minutes a day, 30 straight days. Intensity + Consistency = Progress."
553,give-good-news,Give Good News,"📰 Good news can lift your mood instantly. Try to read and spread good news every day! For inspiration, follow the Good News Network https://www.goodnewsnetwork.org/"
554,be-helpful,Be Helpful,🙆
555,100-not-1,100 Not 1,💯 Stuck on a problem and can’t come up with a single solution? Try coming up with 100 solutions. Write down as many ideas as you can. The act of writing will get your creative juices flowing. Eventually you’ll come up with something useful.
556,find-green-flags,Find Green Flags,"✅ When meeting someone new, look for green flags. Ask yourself, what do I like about that person? This will make you more open and your interactions more pleasant."
557,principle-glue,Principle Glue,"🍯 Write down your principles and stick to them like glue. This ensures that what you say and do aligns with what you believe. It also makes you reliable to others and, most importantly, to yourself."
558,something-beats-nothing,Something Beats Nothing,"⚠️ Doing something is better than doing nothing. Five minutes of exercise is better than no exercise at all. Before you do nothing, do something. Anything. No matter how small."
559,walk-the-way,Walk The Way,"✨ In order to get ahead with anything, you have to start. The persian poet Rumi says ""As you start to walk on the way, the path appears."" Trust the process."
560,date-yourself,Date Yourself,💖 Learn to be by yourself. To enjoy your own company. Schedule time for yourself. Simply be. Here are some things to do by yourself www.thegoodtrade.com/features/things-to-do-by-yourself/
561,say-hello,Say Hello,👋: A random interaction can lead to a beautiful relationship. You never know what a simple hello can do. Always say hello!
562,feel-good-actions,Feel Good Actions,"☀️: Which actions reliably always bring you joy? Do you have a song that lifts your mood? Do you feel better after cleaning your room? Make a list of all your feel good actions. And whenever you don’t feel great, do one thing from that list!"
563,zoom-out-doubt,Zoom Out Doubt,"🚁  When in doubt, zoom out. Struggles can seem larger and growth smaller than they truly are. Zoom out to gain perspective, to see the entire map. Still can’t see it? Zoom out further."
564,10-year-letter,10 Year Letter,"📮 Write a letter to yourself in ten years. What do you hope to have learned, experienced, or accomplished? In ten years, review your letter. You’ll be surprised how much has come true. // 10 Year Letter 💌  Write a letter to yourself in ten years. Write down what you wish for yourself in ten years. What you hope to have accomplished, experienced or maintained. Write the letter by hand or print it out and mail it to a friend you trust. Ask them to keep it for you and return it in ten years. Ideally your friend also writes a letter and you both exchange letters in 10 years"
565,minor-major-repair,Minor Major Repair,👩
566,shun-shouting,Shun Shouting,"📣 When you’re having a heated conversation, refrain from shouting. Shouting rarely improves the communication. Instead, talk in a soft and friendly voice."
567,pen-pal,Pen Pal,"🪶 Choose your pen pal. Choose a friend or family member and send them a handwritten letter once a month. After 12 letters, exchange the letters to have your personal diary entries."
